point_id,asset_id,asset_type,feeder_id,meter_id,signal_name,external_tag,measurement_kind,unit,scale,aggregation,sample_seconds,source_system,source_record_key,calibration_certificate_id,calibration_due_at,quality_code_field,timestamp_field,timezone,expected_min,expected_max,direction,criticality,reconciliation_group,owner,status,evidence_sha256,notes
PNT-001,REPLACE_WITH_QUAY_CRANE,quay_crane,REPLACE_WITH_FEEDER,REPLACE_WITH_METER,active_power,REPLACE_WITH_TAG,instantaneous,kW,1,average,1,REPLACE_WITH_SCADA,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,2500,import,critical,RG-QUAY-CRANE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,岸桥秒级有功功率
PNT-002,REPLACE_WITH_YARD_CRANE,yard_crane,REPLACE_WITH_FEEDER,REPLACE_WITH_METER,active_power,REPLACE_WITH_TAG,instantaneous,kW,1,average,1,REPLACE_WITH_SCADA,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,1000,import,critical,RG-YARD-CRANE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,场桥秒级有功功率
PNT-003,REPLACE_WITH_YARD_VEHICLE,yard_vehicle,REPLACE_WITH_FEEDER,REPLACE_WITH_VEHICLE_METER,battery_soc,REPLACE_WITH_TAG,instantaneous,percent,1,last,5,REPLACE_WITH_FLEET_SYSTEM,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,100,state,critical,RG-YARD-VEHICLE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,场内车辆电池状态
PNT-004,REPLACE_WITH_CHARGER,yard_vehicle_charger,REPLACE_WITH_FEEDER,REPLACE_WITH_CHARGER_METER,active_power,REPLACE_WITH_TAG,instantaneous,kW,1,average,1,REPLACE_WITH_CHARGING_SYSTEM,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,500,import,critical,RG-YARD-VEHICLE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,充电排队和功率约束
PNT-005,REPLACE_WITH_REEFER_BANK,reefer_bank,REPLACE_WITH_FEEDER,REPLACE_WITH_METER,interval_energy,REPLACE_WITH_TAG,interval,kWh,1,sum,60,REPLACE_WITH_REEFER_SYSTEM,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,10000,import,critical,RG-REEFER,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,冷藏箱分区计量
PNT-006,REPLACE_WITH_SHORE_POWER_BERTH,shore_power,REPLACE_WITH_FEEDER,REPLACE_WITH_REVENUE_METER,interval_energy,REPLACE_WITH_TAG,interval,kWh,1,sum,15,REPLACE_WITH_SHORE_POWER_SYSTEM,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,100000,export_to_vessel,critical,RG-SHORE-POWER,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,岸电预约计费与船侧回执
PNT-007,REPLACE_WITH_STORAGE,battery_storage,REPLACE_WITH_FEEDER,REPLACE_WITH_STORAGE_METER,active_power,REPLACE_WITH_TAG,instantaneous,kW,1,average,1,REPLACE_WITH_STORAGE_EMS,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,-10000,10000,bidirectional,critical,RG-STORAGE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,正值放电负值充电方向需现场确认
PNT-008,REPLACE_WITH_BUILDING,building,REPLACE_WITH_FEEDER,REPLACE_WITH_METER,interval_energy,REPLACE_WITH_TAG,interval,kWh,1,sum,60,REPLACE_WITH_BMS,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,50000,import,important,RG-BUILDING,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,建筑分路
PNT-009,REPLACE_WITH_GRID_CONNECTION,grid_import,REPLACE_WITH_MAIN_FEEDER,REPLACE_WITH_REVENUE_METER,interval_energy,REPLACE_WITH_TAG,interval,kWh,1,sum,15,REPLACE_WITH_REVENUE_METER_SYSTEM,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,1000000,import,critical,RG-GRID-BALANCE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,总进线收入电表
PNT-010,REPLACE_WITH_RENEWABLE_ARRAY,renewable_generation,REPLACE_WITH_FEEDER,REPLACE_WITH_METER,interval_energy,REPLACE_WITH_TAG,interval,kWh,1,sum,60,REPLACE_WITH_RENEWABLE_SCADA,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_CAL_CERT,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_QUALITY,REPLACE_WITH_TIMESTAMP,REPLACE_WITH_IANA_TIMEZONE,0,100000,generation,important,RG-GRID-BALANCE,REPLACE_WITH_OWNER,not_started,REPLACE_WITH_64_HEX_SHA256,光伏风电等本地可再生能源
