activity_date,vessels_at_anchor,vessels_at_berth,vessels_departed,average_days_at_berth,average_days_in_port
2020-01-02,0.00000,10.00000,0.00000,0.00000,0.00000
2020-01-03,0.00000,11.00000,1.00000,4.00000,4.00000
2020-01-06,0.00000,6.00000,2.00000,3.50000,3.50000
2020-01-07,0.00000,7.00000,4.00000,3.75000,3.75000
2020-01-08,0.00000,8.00000,1.00000,2.00000,2.00000
2020-01-09,0.00000,9.00000,5.00000,2.60000,2.60000
2020-01-10,0.00000,7.00000,3.00000,2.60000,2.60000
2020-01-13,0.00000,7.00000,6.00000,2.83000,2.83000
2020-01-14,0.00000,8.00000,1.00000,5.00000,5.00000
2020-01-15,0.00000,8.00000,1.00000,2.00000,2.00000
2020-01-16,0.00000,6.00000,7.00000,3.71000,3.71000
2020-01-17,0.00000,10.00000,1.00000,2.00000,2.00000
2020-01-21,1.00000,6.00000,4.00000,4.00000,4.00000
2020-01-22,0.00000,7.00000,1.00000,2.00000,2.00000
2020-01-23,1.00000,5.00000,1.00000,5.00000,5.00000
2020-01-24,0.00000,6.00000,0.00000,0.00000,0.00000
2020-01-27,1.00000,5.00000,4.00000,2.50000,2.50000
2020-01-28,0.00000,8.00000,2.00000,3.00000,3.50000
2020-01-29,0.00000,7.00000,5.00000,3.00000,3.00000
2020-01-30,0.00000,9.00000,3.00000,2.33000,2.33000
2020-01-31,1.00000,8.00000,2.00000,3.00000,3.00000
2020-02-03,1.00000,5.00000,6.00000,4.00000,4.00000
2020-02-04,1.00000,6.00000,3.00000,4.00000,4.00000
2020-02-05,1.00000,9.00000,3.00000,2.00000,2.00000
2020-02-06,1.00000,8.00000,3.00000,2.00000,2.00000
2020-02-07,1.00000,8.00000,2.00000,2.00000,2.00000
2020-02-10,0.00000,6.00000,1.00000,5.00000,5.00000
2020-02-11,0.00000,7.00000,2.00000,4.00000,4.00000
2020-02-12,1.00000,7.00000,2.00000,1.00000,1.00000
2020-02-13,1.00000,5.00000,0.00000,0.00000,0.00000
2020-02-14,0.00000,9.00000,1.00000,3.00000,3.00000
2020-02-18,0.00000,6.00000,4.00000,4.00000,4.00000
2020-02-19,0.00000,7.00000,1.00000,2.00000,2.00000
2020-02-20,0.00000,7.00000,2.00000,2.00000,2.00000
2020-02-21,0.00000,5.00000,2.00000,2.50000,2.50000
2020-02-24,0.00000,2.00000,5.00000,3.20000,3.20000
2020-02-25,0.00000,3.00000,0.00000,0.00000,0.00000
2020-02-26,0.00000,5.00000,0.00000,0.00000,0.00000
2020-02-27,0.00000,3.00000,4.00000,2.25000,2.25000
2020-02-28,0.00000,7.00000,0.00000,0.00000,0.00000
2020-03-02,1.00000,5.00000,1.00000,3.00000,3.00000
2020-03-03,0.00000,4.00000,2.00000,4.00000,4.00000
2020-03-04,0.00000,4.00000,1.00000,2.00000,2.00000
2020-03-05,1.00000,3.00000,0.00000,0.00000,0.00000
2020-03-06,0.00000,5.00000,0.00000,0.00000,0.00000
2020-03-09,0.00000,4.00000,3.00000,2.66000,2.66000
2020-03-10,0.00000,7.00000,0.00000,0.00000,0.00000
2020-03-11,0.00000,5.00000,2.00000,1.66000,1.66000
2020-03-12,0.00000,7.00000,1.00000,3.00000,3.00000
2020-03-13,0.00000,10.00000,2.00000,2.00000,2.00000
2020-03-16,0.00000,5.00000,8.00000,4.12000,4.12000
2020-03-17,0.00000,2.00000,1.00000,4.00000,4.00000
2020-03-18,0.00000,7.00000,2.00000,2.00000,2.00000
2020-03-19,0.00000,8.00000,3.00000,2.00000,2.00000
2020-03-20,0.00000,9.00000,1.00000,1.00000,1.00000
2020-03-23,0.00000,6.00000,0.00000,0.00000,0.00000
2020-03-24,0.00000,7.00000,0.00000,0.00000,0.00000
2020-03-25,1.00000,6.00000,1.00000,2.00000,2.00000
2020-03-26,1.00000,6.00000,1.00000,2.00000,2.00000
2020-03-27,0.00000,6.00000,1.00000,3.00000,3.00000
2020-03-31,0.00000,6.00000,0.00000,0.00000,0.00000
2020-04-01,1.00000,6.00000,2.00000,3.00000,3.00000
2020-04-02,1.00000,5.00000,3.00000,1.66000,1.66000
2020-04-03,0.00000,6.00000,2.00000,4.50000,4.50000
2020-04-06,0.00000,9.00000,3.00000,3.33000,3.33000
2020-04-07,0.00000,11.00000,4.00000,3.50000,3.75000
2020-04-08,0.00000,8.00000,4.00000,2.50000,2.50000
2020-04-09,0.00000,8.00000,1.00000,2.00000,2.00000
2020-04-10,0.00000,7.00000,5.00000,3.40000,3.40000
2020-04-13,0.00000,5.00000,0.00000,0.00000,0.00000
2020-04-14,0.00000,10.00000,1.00000,4.00000,4.00000
2020-04-15,0.00000,10.00000,2.00000,3.00000,3.00000
2020-04-16,0.00000,7.00000,2.00000,2.00000,2.00000
2020-04-17,0.00000,7.00000,2.00000,4.00000,4.00000
2020-04-20,0.00000,5.00000,1.00000,4.00000,4.00000
2020-04-21,0.00000,9.00000,3.00000,3.00000,3.00000
2020-04-22,0.00000,12.00000,2.00000,4.00000,4.00000
2020-04-23,0.00000,12.00000,5.00000,1.80000,1.80000
2020-04-24,0.00000,10.00000,3.00000,2.33000,2.33000
2020-04-27,0.00000,9.00000,6.00000,3.16000,3.16000
2020-04-28,0.00000,7.00000,2.00000,4.00000,4.00000
