gate_id,gate_name,required_condition,evidence_reference,owner_role,status,verified_at,verifier_id,notes
GATE-01,十三域完整性,十三个域恰好各一份且无重复,domain_acceptance_register.template.csv,port_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,不得删减域
GATE-02,域证据签名,十三域内容摘要和责任方Ed25519签名有效,site_cutover_package.template.json,independent_verifier,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,签后修改必须阻断
GATE-03,现场绑定一致,同一港口租户验收窗口和目标发布,site_profile.template.yaml,port_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,跨站点证据不得混用
GATE-04,时效与截止点,数据截止在窗口内且跨域不超过24小时报告不超过30天,domain_acceptance_register.template.csv,data_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,全部时间带时区
GATE-05,接受与例外,十三域独立接受且无开放例外,domain_acceptance_register.template.csv,independent_verifier,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,不得以风险接受替代一级二级缺陷关闭
GATE-06,实时适配器,至少六类适配器全可用且1000签名快照100原子复合影子快照,system_mapping.template.csv,data_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,需源系统回执
GATE-07,计量校准对账,计量校准覆盖100%能量误差不超过1%账单误差不超过0.5%,meter_device_points.template.csv,energy_carbon_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,校准证书在有效期
GATE-08,180天影子,连续180天两个运营季节及六类规定场景,shadow_acceptance_plan.template.csv,operations_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,全程只读
GATE-09,生产执行保护,外部网关能力检查独立联锁100%最终回执和超时降级,REPLACE_WITH_EXECUTION_TEST_REPORT,ot_safety_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,应用无物理控制权
GATE-10,人工接管与回滚,演练通过且回滚不超过策略阈值,REPLACE_WITH_ROLLBACK_DRILL,operations_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,现场安全监护
GATE-11,备份恢复,备份恢复演练和实测恢复点恢复时间满足策略,REPLACE_WITH_DR_REPORT,chief_information_security_officer,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,含数据库消息和密钥依赖
GATE-12,网络安全,安全事件演练通过且无未关闭一级二级缺陷,REPLACE_WITH_CYBER_REPORT,chief_information_security_officer,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,不得开放临时全通规则
GATE-13,人员规程与工单,培训100%且规程运行手册变更单窗口获批,site_profile.template.yaml,port_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,核对现场人员在岗
GATE-14,独立量测验证,效益由独立量测验证接受并绑定归因报告,REPLACE_WITH_MV_REPORT,independent_verifier,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,区分估算和真实结算
GATE-15,六方绑定签字,六方对同一完整包摘要批准,approval_register.template.csv,port_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,禁止拆分签署
GATE-16,应用权限边界,应用无生产授权物理调度和联锁绕过能力,site_profile.template.yaml,ot_safety_owner,blocked,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_VERIFIER,必须保持失效关闭
