mapping_id,adapter_class,domain,source_system,source_owner,target_adapter,protocol,endpoint_zone,direction,write_allowed,source_record_key,event_id_field,observed_at_field,received_at_field,unit_field,quality_field,revision_field,receipt_field,max_age_seconds,poll_or_push,schema_version,test_case_id,status,evidence_sha256,notes
MAP-001,terminal_operations_system,live_port_data,REPLACE_WITH_TOS,REPLACE_WITH_TOS_OWNER,tos_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,60,push,terminal-operations.v1,TC-LIVE-001,not_started,REPLACE_WITH_64_HEX_SHA256,只读接入且保留源记录与重启重发证据
MAP-002,energy_management_system,live_port_data,REPLACE_WITH_EMS,REPLACE_WITH_EMS_OWNER,ems_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,30,push,energy-management.v1,TC-LIVE-002,not_started,REPLACE_WITH_64_HEX_SHA256,只读能源快照
MAP-003,vessel_traffic_and_berth,live_port_data,REPLACE_WITH_AIS_VTS_PCS,REPLACE_WITH_MARINE_OWNER,vessel_berth_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,60,push,vessel-berth.v1,TC-LIVE-003,not_started,REPLACE_WITH_64_HEX_SHA256,自动识别系统船舶交通服务系统和泊位计划
MAP-004,equipment_scada,live_port_data,REPLACE_WITH_SCADA,REPLACE_WITH_EQUIPMENT_OWNER,equipment_read_adapter,REPLACE_WITH_PROTOCOL,OT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,10,push,equipment-telemetry.v1,TC-LIVE-004,not_started,REPLACE_WITH_64_HEX_SHA256,设备遥测与能力状态只读
MAP-005,weather_navigation,live_port_data,REPLACE_WITH_WEATHER_SOURCE,REPLACE_WITH_MARINE_OWNER,weather_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,300,push,weather-navigation.v1,TC-LIVE-005,not_started,REPLACE_WITH_64_HEX_SHA256,极端天气场景来源
MAP-006,shore_power_compatibility,live_port_data,REPLACE_WITH_SHORE_POWER_SYSTEM,REPLACE_WITH_SHORE_POWER_OWNER,shore_power_read_adapter,REPLACE_WITH_PROTOCOL,OT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,10,push,shore-power.v1,TC-LIVE-006,not_started,REPLACE_WITH_64_HEX_SHA256,岸电兼容性预约计量与回执
MAP-007,building_management_system,measurement_and_calibration,REPLACE_WITH_BMS,REPLACE_WITH_FACILITY_OWNER,bms_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,60,push,building-energy.v1,TC-METER-001,not_started,REPLACE_WITH_64_HEX_SHA256,建筑分路负荷
MAP-008,revenue_metering,commercial_settlement,REPLACE_WITH_REVENUE_METER_SYSTEM,REPLACE_WITH_METER_OWNER,revenue_meter_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,900,push,revenue-meter.v1,TC-BILL-001,not_started,REPLACE_WITH_64_HEX_SHA256,收入电表与账单对账
MAP-009,utility_tariff_and_dr,commercial_settlement,REPLACE_WITH_UTILITY_SETTLEMENT,REPLACE_WITH_FINANCE_OWNER,tariff_settlement_read_adapter,REPLACE_WITH_PROTOCOL,IT_DMZ,inbound,false,REPLACE_WITH_SOURCE_KEY,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,REPLACE_WITH_UNIT,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,3600,pull,utility-settlement.v1,TC-BILL-002,not_started,REPLACE_WITH_64_HEX_SHA256,分时电价需量需求响应和购电协议
MAP-010,identity_provider,enterprise_ot_security,REPLACE_WITH_ENTERPRISE_IDP,REPLACE_WITH_CISO_OWNER,oidc_saml_gateway,OIDC_OR_SAML,IT_ZONE,inbound,false,REPLACE_WITH_SUBJECT_ID,REPLACE_WITH_EVENT_ID,REPLACE_WITH_OBSERVED_AT,REPLACE_WITH_RECEIVED_AT,NA,REPLACE_WITH_QUALITY,REPLACE_WITH_REVISION,REPLACE_WITH_RECEIPT,300,push,identity-tenant.v1,TC-SEC-001,not_started,REPLACE_WITH_64_HEX_SHA256,企业单点登录多因素和租户绑定
