period,split,loaded_import_teu,loaded_export_teu,total_teu,grid_carbon_kg_per_kwh,electricity_price_per_kwh,fuel_price_per_liter,source_id
2025-01,train,483831.25,113270.75,924245.00,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-02,train,413236.25,109156.25,801398.00,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-03,train,385530.50,122974.75,778403.70,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-04,train,439230.00,128394.00,842806.65,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-05,train,355950.25,120196.00,716618.60,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-06,train,470449.75,126144.25,892339.75,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-07,train,543727.80,121507.00,1019837.30,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-08,train,504514.25,127378.75,958355.15,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-09,train,460043.75,114693.00,883053.25,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-10,test,429279.75,123764.25,848424.25,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-11,test,406421.00,113706.25,782249.00,0.19504,0.72,7.85,port_la_2025_egrid_camx
2025-12,test,424498.75,108074.75,791587.75,0.19504,0.72,7.85,port_la_2025_egrid_camx
