domain_id,domain,domain_name,owner_role,owner_system,report_schema_version,report_id,report_status,site_id,tenant_id,assessment_window_id,data_cutoff_at,observed_at,source_mode,source_record_ids,independently_verified,acceptance_conclusion,exception_ids,key_id,signed_payload_sha256,signature,status,notes
DOM-001,live_port_data,实港实时数据闭环,data_owner,REPLACE_WITH_DATA_PLATFORM,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,production_shadow,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,六类实时适配器
DOM-002,measurement_and_calibration,现场计量与模型标定,energy_carbon_owner,REPLACE_WITH_METERING_SYSTEM,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,live_site,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,分路计量校准与三方对账
DOM-003,production_execution,生产执行通道,ot_safety_owner,REPLACE_WITH_EXTERNAL_GATEWAY,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,live_site,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,外部网关联锁与设备回执
DOM-004,long_horizon_shadow,长周期影子验证,operations_owner,REPLACE_WITH_SHADOW_PLATFORM,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,production_shadow,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,至少180天与六类场景
DOM-005,port_emissions_inventory,港口级完整碳清单,energy_carbon_owner,REPLACE_WITH_CARBON_LEDGER,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,live_site,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,范围一二三与空气污染物
DOM-006,energy_carbon_management,可审计能源与碳管理体系,energy_carbon_owner,REPLACE_WITH_ENMS,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,live_site,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,能源基准绩效目标纠正和管理评审
DOM-007,operations_energy_coupling,业务与能量细粒度耦合,operations_owner,REPLACE_WITH_PLANNING_PLATFORM,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,production_shadow,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,八源联合计划
DOM-008,electrical_network,电力系统模型深度,ot_safety_owner,REPLACE_WITH_ELECTRICAL_DT,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,production_shadow,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,拓扑潮流N-1孤岛和电能质量
DOM-009,algorithm_production,算法生产证据,independent_verifier,REPLACE_WITH_MODEL_REGISTRY,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,production_shadow,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,多种子跨季节与故障注入
DOM-010,carbon_asset_compliance,碳资产合规,energy_carbon_owner,REPLACE_WITH_CARBON_REGISTRY,REPLACE_WITH_SCHEMA,REPLACE_WITH_REPORT_ID,REPLACE_WITH_REPORT_STATUS,REPLACE_WITH_SITE_ID,REPLACE_WITH_TENANT_ID,REPLACE_WITH_WINDOW_ID,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,REPLACE_WITH_TIMEZONE_AWARE_ISO8601,live_site,REPLACE_WITH_SOURCE_RECORD_IDS,false,rejected,REPLACE_WITH_EXCEPTION_IDS,REPLACE_WITH_KEY_ID,REPLACE_WITH_64_HEX_SHA256,REPLACE_WITH_BASE64_SIGNATURE,not_started,登记簿配额绿证交易和履约
