work_package_id,phase,start_day,end_day,scenario,operating_season,objective,minimum_sample_count,acceptance_gate,evidence_owner,approval_role,status,evidence_sha256,notes
SHD-001,baseline_and_clock,1,15,off_peak_operations,REPLACE_WITH_SEASON_1,时钟源重启重发数据质量和现行规则基线,10000,六源签名快照和原子复合快照稳定,REPLACE_WITH_DATA_OWNER,operations_owner,not_started,REPLACE_WITH_64_HEX_SHA256,全程只读
SHD-002,meter_reconciliation,16,30,peak_operations,REPLACE_WITH_SEASON_1,高负荷能量守恒账单和作业量对账,10000,能量误差不超过1%且账单误差不超过0.5%,REPLACE_WITH_ENERGY_OWNER,energy_carbon_owner,not_started,REPLACE_WITH_64_HEX_SHA256,覆盖岸桥场桥车辆冷藏箱岸电储能建筑和电网
SHD-003,baseline_challenger,31,45,off_peak_operations,REPLACE_WITH_SEASON_1,现行规则模型预测控制和强化学习候选对照,5000,记录建议接受拒绝越权超时和人工否决,REPLACE_WITH_MODEL_RISK_OWNER,operations_owner,not_started,REPLACE_WITH_64_HEX_SHA256,不向设备发指令
SHD-004,equipment_fault,46,60,equipment_failure,REPLACE_WITH_SEASON_1,设备掉线能力降额传感器异常和回执失败,100,超时降级人工接管和告警闭环,REPLACE_WITH_OT_OWNER,ot_safety_owner,not_started,REPLACE_WITH_64_HEX_SHA256,使用获批故障注入
SHD-005,weather_resilience,61,75,extreme_weather,REPLACE_WITH_SEASON_1,高温暴雨大风或现场等效极端天气,1000,预测不确定度分布外检测和安全约束通过,REPLACE_WITH_OPERATIONS_OWNER,operations_owner,not_started,REPLACE_WITH_64_HEX_SHA256,真实事件不足时使用经批准回放并清晰标识
SHD-006,grid_constraint,76,90,grid_derating,REPLACE_WITH_SEASON_1,电网限容母线馈线电压无功和储能约束,1000,N-1和降额条件无安全越界,REPLACE_WITH_ELECTRICAL_OWNER,ot_safety_owner,not_started,REPLACE_WITH_64_HEX_SHA256,含储能质保约束
SHD-007,season_transition,91,105,peak_operations,REPLACE_WITH_SEASON_2,第二运营季节高峰跨季节性能,10000,冠军挑战者概率指标和计算时限满足策略,REPLACE_WITH_MODEL_RISK_OWNER,operations_owner,not_started,REPLACE_WITH_64_HEX_SHA256,至少两个运营季节
SHD-008,maintenance,106,120,planned_maintenance,REPLACE_WITH_SEASON_2,计划检修设备隔离和替代运行方式,100,计划与实际状态一致且人工接管可用,REPLACE_WITH_MAINTENANCE_OWNER,ot_safety_owner,not_started,REPLACE_WITH_64_HEX_SHA256,绑定检修工单
SHD-009,cyber_and_identity,121,135,off_peak_operations,REPLACE_WITH_SEASON_2,身份失效证书轮换消息重放和安全事件,100,多因素租户隔离审计链和安全事件演练通过,REPLACE_WITH_CISO_OWNER,chief_information_security_officer,not_started,REPLACE_WITH_64_HEX_SHA256,不测试联锁绕过
SHD-010,ha_and_dr,136,150,equipment_failure,REPLACE_WITH_SEASON_2,消息时序数据库应用主备和灾备恢复,10,恢复点与恢复时间目标满足策略且证据不可改写,REPLACE_WITH_IT_OWNER,chief_information_security_officer,not_started,REPLACE_WITH_64_HEX_SHA256,记录丢失重复和恢复顺序
SHD-011,rollback_and_takeover,151,165,grid_derating,REPLACE_WITH_SEASON_2,人工接管外部网关停用和发布回滚,10,回滚不超过30分钟且所有设备最终回执闭环,REPLACE_WITH_CHANGE_MANAGER,port_owner,not_started,REPLACE_WITH_64_HEX_SHA256,现场演练需审批和安全监护
SHD-012,final_reconciliation,166,180,planned_maintenance,REPLACE_WITH_SEASON_2,关闭例外复算十三域与十六门禁并冻结完整包,1,无一级二级缺陷无开放例外并完成独立量测验证,REPLACE_WITH_INDEPENDENT_VERIFIER,independent_verifier,not_started,REPLACE_WITH_64_HEX_SHA256,六方签字前禁止替换附件
